code_de_la_subdivision_canadienne-canadian_subdivision_code,région_de_tri_d'acheminement-forward_sortation_area,code_de_genre-gender_group_code,compte_unique_du_bénéficiaire-unique_beneficiary_count
QC,H2Z,102,470
QC,H2Z,103,X
QC,H3A,101,320
QC,H3A,102,350
QC,H3A,103,X
QC,H3B,101,240
QC,H3B,102,400
QC,H3C,101,1950
QC,H3C,102,2810
QC,H3C,103,X
QC,H3E,-1,X
QC,H3E,101,2080
QC,H3E,102,1980
QC,H3E,103,X
QC,H3F,101,X
QC,H3F,102,X
QC,H3G,101,970
QC,H3G,102,1180
QC,H3H,101,2550
QC,H3H,102,3950
QC,H3H,103,X
QC,H3J,101,1270
QC,H3J,102,1410
QC,H3K,101,1760
QC,H3K,102,2180
QC,H3K,103,X
QC,H3L,101,2030
QC,H3L,102,2590
QC,H3L,103,X
QC,H3M,-1,X
QC,H3M,101,1710
QC,H3M,102,2340
QC,H3N,-1,X
QC,H3N,101,3800
QC,H3N,102,5740
QC,H3N,103,X
QC,H3P,101,880
QC,H3P,102,930
QC,H3R,101,810
QC,H3R,102,900
QC,H3S,-1,X
QC,H3S,101,4400
QC,H3S,102,5480
QC,H3T,101,1310
QC,H3T,102,1800
QC,H3V,101,760
QC,H3V,102,950
QC,H3W,-1,X
QC,H3W,101,4620
QC,H3W,102,4710
QC,H3W,103,X
QC,H3X,-1,X
QC,H3X,101,2850
QC,H3X,102,2910
QC,H3X,103,X
QC,H3Y,101,670
QC,H3Y,102,580
QC,H3Z,-1,X
QC,H3Z,101,1050
QC,H3Z,102,990
QC,H3Z,103,X
QC,H4A,101,2970
QC,H4A,102,3230
QC,H4A,103,X
QC,H4B,101,2360
QC,H4B,102,2900
QC,H4B,103,X
QC,H4C,101,2220
QC,H4C,102,2530
QC,H4C,103,X
QC,H4E,101,3610
QC,H4E,102,4280
QC,H4E,103,X
QC,H4G,101,3600
QC,H4G,102,4300
QC,H4G,103,X
QC,H4H,101,2030
QC,H4H,102,2290
QC,H4H,103,X
QC,H4J,-1,X
QC,H4J,101,2000
QC,H4J,102,2670
QC,H4J,103,X
QC,H4K,101,1140
QC,H4K,102,1420
QC,H4L,101,4050
QC,H4L,102,5280
QC,H4L,103,X
QC,H4M,101,1560
QC,H4M,102,1800
QC,H4N,-1,X
QC,H4N,101,3500
QC,H4N,102,4560
QC,H4P,101,1130
QC,H4P,102,1240
QC,H4R,101,3210
QC,H4R,102,3540
QC,H4S,101,50
QC,H4S,102,80
QC,H4T,101,X
QC,H4T,102,20
QC,H4V,101,2520
QC,H4V,102,3090
QC,H4W,-1,X
QC,H4W,101,3040
QC,H4W,102,3320
