pcu_date_des_donnees_inclus-cerb_week_ending_date,code_de_la_subdivision_canadienne-canadian_subdivision_code,code_de_genre-gender_group_code,compte_unique_du_demandeur-unique_applicant_count 
2020-09-27,MB,103,100
2020-09-27,SK,101,118480
2020-09-27,SK,102,122150
2020-09-27,SK,103,70
2020-09-27,AB,101,527220
2020-09-27,AB,102,539970
2020-09-27,AB,103,280
2020-09-27,BC,101,600910
2020-09-27,BC,102,580980
2020-09-27,BC,103,450
2020-09-27,YT,101,4380
2020-09-27,YT,102,4730
2020-09-27,YT,103,0
2020-09-27,NT,101,5400
2020-09-27,NT,102,6430
2020-09-27,NT,103,10
2020-09-27,NU,101,4790
2020-09-27,NU,102,5180
2020-09-27,NU,103,0
2020-09-27,**,101,1550
2020-09-27,**,102,2600
2020-09-27,**,103,1170
2020-09-27,??,101,30
2020-09-27,??,102,50
2020-09-27,??,103,0
2020-10-04,NL,101,57460
2020-10-04,NL,102,63770
2020-10-04,NL,103,30
2020-10-04,PE,101,17860
2020-10-04,PE,102,18180
2020-10-04,PE,103,20
2020-10-04,NS,101,105190
2020-10-04,NS,102,109250
2020-10-04,NS,103,110
2020-10-04,NB,101,83170
2020-10-04,NB,102,84120
2020-10-04,NB,103,70
2020-10-04,QC,101,913020
2020-10-04,QC,102,1113840
2020-10-04,QC,103,440
2020-10-04,ON,101,1735440
2020-10-04,ON,102,1781030
2020-10-04,ON,103,1920
2020-10-04,MB,101,139580
2020-10-04,MB,102,138680
2020-10-04,MB,103,100
2020-10-04,SK,101,118910
2020-10-04,SK,102,122660
2020-10-04,SK,103,70
2020-10-04,AB,101,529100
2020-10-04,AB,102,542060
2020-10-04,AB,103,280
2020-10-04,BC,101,602820
2020-10-04,BC,102,583010
2020-10-04,BC,103,460
2020-10-04,YT,101,4400
2020-10-04,YT,102,4760
2020-10-04,YT,103,0
2020-10-04,NT,101,5420
2020-10-04,NT,102,6460
2020-10-04,NT,103,10
2020-10-04,NU,101,4810
2020-10-04,NU,102,5200
2020-10-04,NU,103,0
2020-10-04,**,101,1560
2020-10-04,**,102,2640
2020-10-04,**,103,1170
2020-10-04,??,101,30
2020-10-04,??,102,50
2020-10-04,??,103,0
